#,prompt,response,duration_sec,token_count,location,time_of_day,pm2_5,pm10,co2,no2,o3,so2,temperature,humidity,wind_speed,aqi,ambient_pressure,visibility
1,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! The air quality readings are quite high. Could you please increase ventilation inside the house to help reduce CO₂ and PM2.5 levels? This can be done by opening windows or activating the air purifier. If you need more information, please let me know."" 

In this message, I have used a conversational tone to address Tanaka-san as a friendly friend or colleague, and included clear instructions in a natural, easy to read style. I also kept the sentences short, concise, and easy to understand, while referencing specific data points from the environmental monitoring system.",32.758761,130,Suburban,Evening,86.21,203.59,1962.83,0.011,0.045,0.042,29.42,60.4,8.06,54,1001.13,7.06
2,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," {
  ""timestamp"": ""13th November 2021"",
  ""air_temperature"": ""{{air_temperature}}°C"",
  ""air_humidity"": ""{{air_humidity}}%"",
  ""co2"": ""{:.2f} ppm"",
  ""no2"": ""{:.2f} ppm"",
  ""so2"": ""{:.2f} ppm"",
  ""o3"": ""{:.2f} ppm"",
  ""pm1"": ""{:.2f} ppm"",
  ""pm25"": ""{:.2f} ppm"",
  ""pm10"": ""{:.2f} ppm"",
  ""voc"": ""{:.2f} ppm"",
  ""h2s"": ""{:.2f} ppm"",
  ""noise_level"": ""{:.2f} dB"",
  ""ambient_light"": ""{:.2f} Lux"",
  ""wind_speed"": ""{:.2f} m/s"",
  ""wind_direction"": ""{:.2f}° east"",
  ""timestamp"": ""{{timestamp}}""
}",17.097068,270,Industrial Area,Night,119.93,89.75,1275.43,0.145,0.079,0.011,16.4,15.04,4.31,224,984.8,1.61
3,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! Your local environment is showing an unhealthy combination of carbon dioxide and particulate matter levels within your indoor spaces. To ensure a more comfortable and healthful living environment, we recommend increasing ventilation by opening windows or activating the air purifier. Additionally, it may be helpful to consult with your community council's environmental officer for assistance in identifying potential sources of pollution or implementing corrective measures.",6.087107,93,Urban Residential,Evening,179.08,147.93,1597.57,0.086,0.115,0.016,32.67,38.03,0.88,259,999.0,5.23
4,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow. If this doesn't solve the issue, please take immediate action to ensure your indoor space is as clean and fresh as possible.",4.626698,73,Industrial Area,Morning,14.78,28.23,660.21,0.17,0.009,0.037,10.96,86.44,7.12,169,1015.01,7.94
5,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! The air quality readings in your workplace show elevated CO₂ and PM2.5 levels indoors. To maintain a healthy environment, we recommend increasing ventilation by opening windows or activating the air purifier to help remove pollutants from the air. Additionally, follow these simple tips to reduce CO₂ emissions:

1. Ensure regular maintenance of equipment, including lighting, heating, and air conditioning systems: Regularly check for leaks, damaged components, or other issues that might be causing excessive CO₂ production. If necessary, schedule repairs or upgrades to help reduce emissions.
2. Take care of outdoor plants and trees: Water your plants often and keep them well-nourished to help reduce their impact on the environment.
3. Use energy-efficient appliances: Maintain your home at a comfortable temperature using energy-saving appliances such as air conditioners, light bulbs, and electronics.
4. Insulate windows and doors: Cover the edges of windows and doors with insulating materials like foam or mats to help keep the heat in during colder temperatures.
5. Seal drafts: Remove drafts around windows and doors to reduce outdoor air leaks, which can also contribute to increased CO₂ emissions.
6. Utilize public transportation: Commute less by using public transportation or carpooling when possible, which can help reduce your carbon footprint.
7. Plant a rainwater collection system: Install a rainwater collection system to collect excess water from downpours and use it for indoor uses like washing vehicles or pets.
8. Replace old, dirty air filters: Regularly change the air filter in your home's ventilation system to help remove pollutants from the air.

Remember, taking these steps can help reduce CO₂ emissions and improve overall indoor air quality. We are here to support you throughout this process. Have a great day!",28.003092,433,Urban Residential,Night,42.55,176.96,981.96,0.19,0.033,0.044,36.52,31.58,2.42,202,991.49,8.9
6,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! The air quality readings indicate that your indoor environment has some serious issues with pollutants like CO₂ and PM2.5. I hope this helps you understand how to improve it. 

Firstly, I'd advise increasing ventilation by opening windows or activating the air purifier. This will help to circulate fresh air and reduce humidity levels indoors. In addition, turn off any lights that are not needed for work or ensure they are switched off during non-business hours. 

Secondly, if you have a gas stove or an oven in your kitchen, it may be a good idea to switch them off for an extended period. This will help reduce the levels of harmful NO₂ emissions from these appliances. In case of a fire, turn off all gas appliances before calling emergency services. 

Lastly, if you are aware of any sources of air pollution, like industrial plants or nearby traffic, it would be great if you could inform the authorities about their operations. This will help in maintaining healthy air levels and protecting the public from these hazards. 

Please let me know how this information helps you!",16.676543,261,City Center,Evening,151.28,61.16,2169.37,0.055,0.148,0.003,6.0,92.49,6.17,76,1012.5,4.29
7,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! The air quality readings have shown elevated CO₂ and PM2.5 levels within your facility, which indicates poor air quality. To maintain a healthy environment, we recommend increasing ventilation by opening windows or activating the air purifier to improve air circulation and reduce exposure to harmful pollutants. Is there anything else I can assist you with?""",5.284895,82,City Center,Morning,147.73,236.52,358.95,0.115,0.112,0.02,26.66,66.83,8.98,111,1008.62,2.85
8,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! I hope this helps you understand the current air quality conditions in your local area.

The data you've provided includes a few key elements:
- Atmospheric pressure (hPa): 1025 ppm, which is about 37.12 inches of mercury. This suggests relatively low humidity levels in the air.
- Carbon dioxide (CO₂) concentration (ppm): 491 ppm, which is about 8.35 miles per hour. The higher the concentration of CO₂ in the air, the more polluted it is. In this case, we're looking at a moderately high level.
- Carbon monoxide (CO) concentration (ppm): 26 ppm, which is about 0.074 miles per hour. It's another pollutant that could be problematic in higher levels.
- Nitrogen dioxide (NO₂) concentration (ppm): 183 ppm, which is about 5.23 miles per hour. This could indicate outdoor pollution from industrial emissions or wildfires.
- Sulfur dioxide (SO₂) concentration (ppm): 345 ppm, which is about 9.01 miles per hour. It's another pollutant that could be problematic in higher levels.
- Ozone (O₃) concentration (ppb): 27.9, which is approximately 0.68 miles per hour. Lower than the elevated values we're likely to see, which means the air quality might be better.

The wind speed is 13 m/s and the wind direction is NW at approximately 180°. The local weather can have a significant impact on your air quality. In this case, the wind speed is causing air movement to be towards you rather than away from you. This could be resulting in elevated pollutant concentrations in your indoor environment.

To improve or maintain healthy air, you can try:
- Ventilation: Activating the air purifier or opening windows during high pollution levels can help improve airflow and reduce exposure to harmful pollutants.
- Cleaning: Ensuring your home is well maintained and cleaned regularly can also contribute to improving indoor air quality.
- Reducing emissions: Minimizing the amount of industrial or wildfire emissions that contribute to outdoor pollution could help improve your local air quality.

Remember, it's essential to take these measures seriously as even moderate increases in pollutants can have adverse effects on human health and the environment. Always consult with a professional for the best advice in managing your environmental situation.

In closing, I hope this information helps you understand the current air quality conditions in your area. If you have any further questions or concerns, please don't hesitate to ask.",43.970078,639,City Center,Afternoon,58.44,118.78,1796.3,0.03,0.069,0.027,22.46,9.01,2.73,317,987.29,5.83
9,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Expertise in Air Quality Assessment:
To provide an overview of current air quality conditions and possible actions to improve or maintain healthy air, I would begin by explaining that local operators and technicians can use my data to determine the optimal ventilation settings to enhance indoor air quality.

Step 1: Address specific environmental factors impacting air quality, such as weather and occupancy.
- Air temperature: It is essential to maintain a comfortable indoor climate, ideally between 20°C - 30°C throughout the day.
- Humidity: Avoid overly dry or wet conditions that could lead to respiratory issues. For most settings, I recommend using an inlet temperature of 25°C and a relative humidity level of 45%.

Step 2: Explain how the current air quality levels compare to recommended guidelines for healthy indoor air quality.
- CO₂ concentration (ppm): The concentration of carbon dioxide in the indoor environment should be below 20 ppm.
- PM2.5 concentration (µg/m³): Averages between 1 and 3 during daytime hours, but should never exceed 60 ppm.

Step 3: Recommend ways to improve air quality within the operator's control.
- Increase ventilation by opening windows or activating the air purifier: This will help to increase fresh air infiltration and can significantly reduce CO₂ levels during periods of high occupancy, such as after holiday parties or gatherings.
- Enhance natural Ventilation (EV): If possible, invest in a natural ventilation system that will improve air quality while reducing energy consumption. This could include ceiling fans, opening windows, or using fans to supplement indoor heating.
- Monitor and maintain the air purifier: Ensure it is functioning efficiently by regularly testing its performance and replacing the filter as necessary.

Step 4: Address any areas requiring improvement and provide recommendations for improvement.
- If necessary, adjust ventilation settings to balance out indoor pollution levels, ensuring that occupants are not exposed to excessive amounts of CO₂ or PM2.5 particles.
- Provide training on proper air purifier operation, maintenance schedules, and the importance of regular inspections to maintain optimal performance.

Step 5: Conclude with a summary of the recommended actions and encourage further conversation.
In conclusion, improving air quality within an indoor environment can be achieved through several strategies. By monitoring and adjusting ventilation settings, natural ventilation systems, and the effectiveness of our air purifier, we can create an atmosphere conducive to healthy living. Let me know if you have any other questions or concerns.",42.214272,602,Urban Residential,Evening,67.85,136.1,565.53,0.063,0.091,0.033,38.4,29.76,1.26,143,989.79,7.41
10,"Environmental data:
- Location type: {{environment_type}}
- Air temperature (°C): {{air_temperature}}
- Air humidity (%): {{air_humidity}}
- Atmospheric pressure (hPa): {{air_pressure}}
- Carbon dioxide (CO₂ ppm): {{co2}}
- Carbon monoxide (CO ppm): {{co}}
- Nitrogen dioxide (NO₂ ppm): {{no2}}
- Sulfur dioxide (SO₂ ppm): {{so2}}
- Ozone (O₃ ppm): {{o3}}
- Particulate matter PM1.0 (µg/m³): {{pm1}}
- Particulate matter PM2.5 (µg/m³): {{pm25}}
- Particulate matter PM10 (µg/m³): {{pm10}}
- Volatile organic compounds (VOC ppm): {{voc}}
- Hydrogen sulfide (H₂S ppm): {{h2s}}
- Noise level (dB): {{noise_level}}
- Ambient light (lux): {{ambient_light}}
- Wind speed (m/s): {{wind_speed}}
- Wind direction (°): {{wind_direction}}
- Timestamp: {{timestamp}}

You are an experienced environmental monitoring officer specializing in air quality assessment.
Write a short instructional message (under 200 words) to help a local operator or technician understand the current air quality conditions and possible actions to improve or maintain healthy air.

Guidelines:
- Speak in a friendly, natural tone, as if talking directly to the operator.
- Avoid symbols, bullet points, and special characters that may sound awkward when spoken.
- Refer naturally to the provided data where relevant.
- Keep sentences clear, concise, and easy to read aloud.
- Begin with: ""Hello Tanaka-san,""

Example style:
""Hello Tanaka-san, the air quality readings show elevated CO₂ and PM2.5 levels indoors. Please increase ventilation by opening windows or activating the air purifier for better airflow...""

Now, write the complete instructional message.
"," Hello Tanaka-san! 
I hope you are having a great day!

The air quality data provided shows elevated levels of CO₂ and PM2.5 (particulate matter) indoors. To improve or maintain healthy air, you can:
1. Increase ventilation by opening windows if possible to allow fresh air in. 
    - If windows are already open, they should remain so to avoid overheating the house.
2. Use an air purifier if there is already one installed in your home. 
    - Air purifiers can remove some of the pollutants indoors, such as dust, mold spores, and pet dander.
3. Monitor the air quality data regularly to identify any areas where improvements can be made and take action accordingly. This could include adjusting ventilation levels, turning off lights or electronics when they are not in use, or limiting outside air exposure if possible.",13.813378,206,Rural,Evening,125.82,0.79,1627.93,0.179,0.047,0.013,7.95,93.83,5.0,276,1006.11,1.4
